1982/01,156
1982/02,222
1982/03,247
1982/04,287
1982/05,256
1982/06,195
1982/07,172
1982/08,218
1982/09,225
1982/10,287
1982/11,406
1982/12,531
1983/01,248
1983/02,320
1983/03,499
1983/04,382
1983/05,475
1983/06,530
1983/07,480
1983/08,423
1983/09,379
1983/10,421
1983/11,440
1983/12,397
1984/01,227
1984/02,305
1984/03,465
1984/04,365
1984/05,489
1984/06,485
1984/07,315
1984/08,385
1984/09,264
1984/10,301
1984/11,353
1984/12,513
1985/01,558
1985/02,417
1985/03,426
1985/04,390
1985/05,500
1985/06,421
1985/07,535
1985/08,699
1985/09,551
1985/10,565
1985/11,478
1985/12,488
1986/01,401
1986/02,547
1986/03,468
1986/04,633
1986/05,636
1986/06,648
1986/07,653
1986/08,499
1986/09,534
1986/10,566
1986/11,586
1986/12,865
1987/01,407
1987/02,485
1987/03,741
1987/04,1028
1987/05,976
1987/06,904
1987/07,709
1987/08,710
1987/09,730
1987/10,730
1987/11,684
1987/12,970
1988/01,476
1988/02,586
1988/03,783
1988/04,849
1988/05,935
1988/06,1020
1988/07,844
1988/08,750
1988/09,725
1988/10,870
1988/11,778
1988/12,865
1989/01,772
1989/02,732
1989/03,944
1989/04,878
1989/05,890
1989/06,887
1989/07,908
1989/08,874
1989/09,872
1989/10,995
1989/11,860
1989/12,902
1990/01,1019
1990/02,1015
1990/03,1117
1990/04,1156
1990/05,1015
1990/06,878
1990/07,758
1990/08,711
1990/09,709
1990/10,1090
1990/11,922
1990/12,958
1991/01,599
1991/02,510
1991/03,871
1991/04,932
1991/05,940
1991/06,802
1991/07,828
1991/08,1070
1991/09,918
1991/10,1245
1991/11,1054
1991/12,1043
1992/01,971
1992/02,858
1992/03,1092
1992/04,964
1992/05,896
1992/06,1056
1992/07,872
1992/08,800
1992/09,875
1992/10,1014
1992/11,801
1992/12,777
1993/01,769
1993/02,741
1993/03,841
1993/04,1020
1993/05,1020
1993/06,888
1993/07,842
1993/08,901
1993/09,830
1993/10,890
1993/11,860
1993/12,755
1994/01,666
1994/02,899
1994/03,1211
1994/04,1166
1994/05,1099
1994/06,982
1994/07,714
1994/08,779
1994/09,737
1994/10,693
1994/11,699
1994/12,601
1995/01,462
1995/02,473
1995/03,682
1995/04,645
1995/05,815
1995/06,807
1995/07,704
1995/08,779
1995/09,630
1995/10,670
1995/11,673
1995/12,516
1996/01,531
1996/02,691
1996/03,887
1996/04,888
1996/05,973
1996/06,779
1996/07,866
1996/08,826
1996/09,794
1996/10,849
1996/11,896
1996/12,831
1997/01,815
1997/02,887
1997/03,1056
1997/04,1179
1997/05,1003
1997/06,990
1997/07,1002
1997/08,873
1997/09,907
1997/10,1085
1997/11,934
1997/12,780
1998/01,766
1998/02,827
1998/03,1115
1998/04,1191
1998/05,1144
1998/06,1215
1998/07,1050
1998/08,899
1998/09,1001
1998/10,1149
1998/11,979
1998/12,826
1999/01,697
1999/02,898
1999/03,1254
1999/04,1219
1999/05,1341
1999/06,1404
1999/07,1292
1999/08,1193
1999/09,1189
